[2026-02-02 00:30:01] ========== CRON: Vacation Balance Update Started ==========
[2026-02-02 00:30:01] Force level: 0 (0=normal, 1=check missing, 2=full bypass)
[2026-02-02 00:30:01] Source: CLI (argv)
[2026-02-02 00:30:01] Database connection established
[2026-02-02 00:30:01] [emp_id: 5472] Created new emp_vacation_balance with starting balance 0.08
[2026-02-02 00:30:01] Created 1 new emp_vacation_balance record(s) for newly registered employees
[2026-02-02 00:30:01] Found 423 active employees with balance records to update
[2026-02-02 00:30:01] (Only employees with status=1 will be processed)
[2026-02-02 00:30:04]   [emp_id: 4119] ✓ Updated: 59.18 → 59.35 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4120] ✓ Updated: 28.76 → 28.93 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4124] ✓ Updated: 29.28 → 29.45 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4133] ✓ Updated: 107.76 → 107.93 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4134] ✓ Updated: 28.76 → 28.93 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4136] ✓ Updated: 28.76 → 28.93 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4150] ✓ Updated: 27.43 → 27.6 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4157] ✓ Updated: 20.93 → 21.1 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4172] ✓ Updated: 14.18 → 14.3 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4195] ✓ Updated: 64.51 → 64.68 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4215] ✓ Updated: 47.18 → 47.35 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4220] ✓ Updated: 42.76 → 42.93 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4273] ✓ Updated: 11.43 → 11.6 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4283] ✓ Updated: 15.27 → 15.39 (VALUE CHANGED)
